flowKey,minFiat,meanFiat,maxFiat,stdFiat,minBiat,meanBiat,maxBiat,stdBiat,minFpkt,meanFpkt,maxFpkt,stdFpkt,minBpkt,meanBpkt,maxBpkt,stdBpkt,protocol,duration,hasRTCP,fPackets,fBytes,bPackets,bBytes,label
"TCP: 109.244.216.125:8081,172.16.105.71:57735",15,346339,1002970,464540.9983291751,0,0,0,0,0,0,0,0,0,0,0,0,6,1039017,0,4,0,1,0,No Label
"TCP: 172.16.105.71:57155,175.27.0.70:8081",21,18066.666666666668,54092,25473.771744460784,0,0,0,0,0,346.75,1387,600.5886175245082,0,0,0,0,6,54200,0,4,1387,1,0,No Label
"TCP: 121.51.191.86:443,172.16.105.71:56852",39,9547.333333333334,28297,13258.464524806617,0,0,0,0,0,129.25,517,223.8675668782774,0,0,0,0,6,28642,0,4,517,1,0,No Label
"TCP: 172.16.105.71:65079,175.27.0.70:8081",121,21123.5,42126,21002.5,52353,52353,52353,0,0,462.3333333333333,1387,653.838070337161,0,0,0,0,6,94395,0,3,1387,2,0,No Label
"TCP: 109.244.216.125:8081,172.16.105.71:65226",57,409768.6666666667,1015109,436871.8897589493,0,0,0,0,0,0,0,0,0,0,0,0,6,1229306,0,4,0,1,0,No Label
"TCP: 109.244.216.125:8081,172.16.105.63:61268",20,77988,233846,110208.25330255444,0,0,0,0,0,242.5,970,420.0223208354527,0,0,0,0,6,233964,0,4,970,1,0,No Label
"TCP: 119.147.6.94:8081,192.168.190.253:55398",71,14636.333333333334,43395,20336.015298534327,0,0,0,0,0,318.75,1275,552.0911949125797,0,0,0,0,6,43909,0,4,1275,1,0,No Label
"TCP: 172.16.105.71:56394,175.27.0.70:8081",17,13342.666666666666,39908,18784.560155143965,0,0,0,0,0,354.75,1419,614.4450239850593,0,0,0,0,6,40028,0,4,1419,1,0,No Label
"UDP: 109.244.129.104:443,172.16.105.71:55570",14806,23144.5,31483,8338.5,486,486,486,0,30,516.6666666666666,1350,592.0210206478221,28,689,1350,661,17,46289,0,3,1550,2,1378,No Label
"TCP: 109.244.216.125:8081,172.16.105.63:61091",11,83647.33333333333,250839,118222.36588264037,0,0,0,0,0,242.5,970,420.0223208354527,0,0,0,0,6,250942,0,4,970,1,0,No Label
"TCP: 172.16.105.71:65127,175.27.0.70:8081",14,72215.33333333333,216550,102060.02533585594,0,0,0,0,0,356,1424,616.6100874945204,0,0,0,0,6,216646,0,4,1424,1,0,No Label
"TCP: 172.16.105.71:57523,175.27.204.77:8006",35,16650.666666666668,49649,23333.539156235074,0,0,0,0,0,78,312,135.09996299037243,0,0,0,0,6,49952,0,4,312,1,0,No Label
"TCP: 172.16.105.71:65100,175.27.0.70:8081",18,16410,49127,23134.428730069536,0,0,0,0,0,356,1424,616.6100874945204,0,0,0,0,6,49230,0,4,1424,1,0,No Label
"TCP: 109.244.249.25:8003,172.16.105.71:56745",92,15032,44853,21086.64507850091,0,0,0,0,0,78,312,135.09996299037243,0,0,0,0,6,45096,0,4,312,1,0,No Label
"TCP: 109.244.216.125:8081,172.16.105.71:57204",143,18326,36509,18183,50657,50657,50657,0,0,377,1131,533.1585130146568,0,0,0,0,6,87095,0,3,1131,2,0,No Label
"TCP: 109.244.248.136:8015,172.16.105.71:64470",234,70317,210454,99091.82370239568,0,0,0,0,0,78,312,135.09996299037243,0,0,0,0,6,210951,0,4,312,1,0,No Label
"TCP: 109.244.216.125:8081,172.16.105.71:65210",5,42531.666666666664,127511,60089.47045494373,0,0,0,0,0,370.75,1424,608.5710209170331,0,0,0,0,6,127595,0,4,1483,1,0,No Label
"TCP: 119.29.29.98:80,172.16.105.71:64419",64,85179.33333333333,255335,120318.22965323622,0,0,0,0,0,88.25,353,152.85348376795343,0,0,0,0,6,255538,0,4,353,1,0,No Label
"TCP: 121.51.141.89:443,172.16.105.71:57621",68,17736.333333333332,53032,24957.81085930593,0,0,0,0,0,83.5,334,144.62624243200125,0,0,0,0,6,53209,0,4,334,1,0,No Label
"UDP: 109.244.129.104:443,172.16.105.71:64080",0,0,0,0,0,473.6666666666667,1420,669.1588417973385,1350,1350,1350,0,28,1019.5,1350,572.4427919015139,17,110509,0,1,1350,4,4078,No Label
"TCP: 109.244.216.125:8081,172.16.105.63:61535",19,30442.666666666668,91153,42928.72482253449,0,0,0,0,0,242.5,970,420.0223208354527,0,0,0,0,6,91328,0,4,970,1,0,No Label
"TCP: 172.16.105.71:65033,183.47.113.174:8080",389,21632,42875,21243,31144,31144,31144,0,0,95.33333333333333,286,134.82169294623506,0,0,0,0,6,73767,0,3,286,2,0,No Label
